term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
bio12_mean,-0.0376969378475143,0.0179755064935869,0.0359822466141002,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Water availability,Endotherm,0.0693943327557647
npp,-0.00776109120787318,0.00876247191618212,0.375768761504844,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Productivity,Endotherm,0.478238841284088
elev_range,-0.082076887910484,0.00447641680279053,0,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Habitat heterogeneity,Endotherm,0
bio4_mean,0.000864091116805244,0.0259349702698516,0.973421314127258,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Climatic seasonality,Endotherm,0.982518709586391
hfp2020,0.0191045851348462,0.00551074829326155,0.00052672101934248,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Human pressure,Endotherm,0.00160241887574614
bio1_mean,-0.123354950129058,0.0191022574311558,1.06368691632497e-10,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Ambient energy,Endotherm,7.92263358366184e-10
bio12_mean,-0.0940877029607138,0.0235522365263567,6.47346346733801e-05,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Water availability,Endotherm,0.000241080708624853
npp,0.0179205011776283,0.0116087617700312,0.12265986481085,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Productivity,Endotherm,0.213665570960835
elev_range,0.00605691295245934,0.0059814228556475,0.31124134036394,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Habitat heterogeneity,Endotherm,0.417566021854727
bio4_mean,-0.111684678175255,0.0343736753875559,0.00115756925474075,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Climatic seasonality,Endotherm,0.0033788507982821
hfp2020,-0.00142799342842546,0.00739258955768679,0.846829338835015,3782,0.987195958315567,-0.0296708200166313,Mammalia,size,single trait,Human pressure,Endotherm,0.892268961909757
bio1_mean,0.0105660951202894,0.0140488290720443,0.451992174853274,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Ambient energy,Endotherm,0.540825814129181
bio12_mean,-0.127988400190618,0.0172537118530332,1.18793863634892e-13,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Water availability,Endotherm,1.4255263636187e-12
npp,0.0064591520769373,0.00846975945252802,0.445693989021992,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Productivity,Endotherm,0.537820679490225
elev_range,-0.0142575826216586,0.00436288462258565,0.00108338817131748,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Habitat heterogeneity,Endotherm,0.00325016451395244
bio4_mean,0.0585398392020399,0.0253874537292239,0.0211186211283732,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Climatic seasonality,Endotherm,0.0430341713559302
hfp2020,0.00649084074734087,0.00539242068116264,0.228706701420915,3782,0.991960216100268,-0.0187209574326374,Mammalia,fecundity,single trait,Human pressure,Endotherm,0.33836059936245
bio1_mean,0.260336187886866,0.0223647279383854,0,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Ambient energy,Endotherm,0
bio12_mean,0.154416820225713,0.0278155413062809,2.83296148761991e-08,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Water availability,Endotherm,1.74834194664543e-07
npp,-0.0350373437067439,0.0138254879098954,0.0112685955149399,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Productivity,Endotherm,0.0250929549611032
elev_range,0.0393485984994844,0.0071282299495158,3.38791552589868e-08,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Habitat heterogeneity,Endotherm,2.03274931553921e-07
bio4_mean,-0.0394635406613951,0.0398046967416341,0.321476023146911,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Climatic seasonality,Endotherm,0.426005036808177
hfp2020,-0.0251151520968553,0.00880984158820925,0.00436085230801608,3782,0.979257653684541,-0.0211664031867047,Mammalia,nocturnality,single trait,Human pressure,Endotherm,0.0104660455392386
bio1_mean,0.0779722206321333,0.0148426521474234,1.49435287921662e-07,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Ambient energy,Endotherm,8.7237897813727e-07
bio12_mean,0.133242666415181,0.0182460598370784,2.8244073746464e-13,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Water availability,Endotherm,3.05035996461811e-12
npp,-0.00909152699449237,0.00896619720008227,0.310593234647322,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Productivity,Endotherm,0.417566021854727
elev_range,0.011978141322978,0.00461890306561553,0.00950634009373141,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Habitat heterogeneity,Endotherm,0.0213892652108957
bio4_mean,-0.0368819292138401,0.0267959161993169,0.168697479749812,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Climatic seasonality,Endotherm,0.265975588510652
hfp2020,-0.0046054867318834,0.00570876581850482,0.419816596863063,3782,0.990654818678003,-0.0104222676978373,Mammalia,verticality,single trait,Human pressure,Endotherm,0.515229459786486
bio1_mean,-0.136090800390821,0.0312305473691817,1.31485515990626e-05,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Ambient energy,Endotherm,5.68017429079504e-05
bio12_mean,-0.118118932513481,0.038904642741308,0.00239648695689398,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Water availability,Endotherm,0.0061623950320131
npp,0.0560956793710616,0.0193673559209672,0.00377466595934872,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Productivity,Endotherm,0.00937158445079683
elev_range,-0.0402101453798382,0.00998686511579078,5.66606577412365e-05,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Habitat heterogeneity,Endotherm,0.000222521855856493
bio4_mean,-0.228413540759996,0.0554600273816947,3.81304269039262e-05,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Climatic seasonality,Endotherm,0.000158387927139386
hfp2020,0.0127462425310242,0.012342845268963,0.301752421505131,3782,0.977952095481274,-0.0214347952798002,Mammalia,habitat_breadth,single trait,Human pressure,Endotherm,0.417566021854727
bio1_mean,-0.0115795961235764,0.0219395336417237,0.597640996191154,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Ambient energy,Endotherm,0.690323289718124
bio12_mean,-0.12179908180715,0.0270465891986353,6.69042743761672e-06,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Water availability,Endotherm,3.01069234692752e-05
npp,0.0309383149971026,0.013329215232425,0.0202819594028558,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Productivity,Endotherm,0.0417228879144463
elev_range,-0.0586909201525468,0.00686781931980508,0,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Habitat heterogeneity,Endotherm,0
bio4_mean,-0.120881688946523,0.0394857246416555,0.00220302861661237,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Climatic seasonality,Endotherm,0.00581615547442963
hfp2020,0.024216527014027,0.0084881155246755,0.00433096905434582,3782,0.98734870750404,-0.0241449052080451,Mammalia,range_size,single trait,Human pressure,Endotherm,0.0104660455392386
bio1_mean,-0.123354950122826,0.0191022574313328,1.06368691632497e-10,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Ambient energy,Endotherm,7.92263358366184e-10
bio12_mean,-0.0940877029566919,0.0235522365264302,6.47346347233402e-05,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Water availability,Endotherm,0.000241080708624853
npp,0.017920501178204,0.0116087617699967,0.122659864797721,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Productivity,Endotherm,0.213665570960835
elev_range,0.00605691295306313,0.00598142285562719,0.311241340314063,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Habitat heterogeneity,Endotherm,0.417566021854727
bio4_mean,-0.111684678175168,0.0343736753881175,0.00115756925496702,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Climatic seasonality,Endotherm,0.0033788507982821
hfp2020,-0.00142799342828356,0.00739258955766191,0.846829338849538,3782,0.987195958322092,-0.0296708200279058,Mammalia,SIZE,functional axis,Human pressure,Endotherm,0.892268961909757
bio1_mean,0.0101516199454561,0.0135336145332284,0.453192001654545,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Ambient energy,Endotherm,0.540825814129181
bio12_mean,0.140434448722757,0.0166188643947368,0,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Water availability,Endotherm,0
npp,-0.00943843708936748,0.00815696669771048,0.247230959623469,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Productivity,Endotherm,0.358401928044761
elev_range,0.0127906224517943,0.00420172529307461,0.00233349767918933,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Habitat heterogeneity,Endotherm,0.00607271685186622
bio4_mean,-0.0371647775334369,0.024459465940355,0.12865088929039,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Climatic seasonality,Endotherm,0.222308736693793
hfp2020,-0.0060801027710612,0.00519324422457914,0.241690602364198,3782,0.99214335987274,-0.0209645495477832,Mammalia,PACE,functional axis,Human pressure,Endotherm,0.355137211637188
bio1_mean,-0.082251419558204,0.0267442338909297,0.0021016235999991,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Ambient energy,Endotherm,0.00567438371999758
