class,index,term,estimate,p,r2,n,hypothesis,thermal,p_adj
Mammalia,FDis,bio12_mean,0.382431726152085,3.60798972564776e-21,0.648935896279923,1164,Water availability,Endotherm,1.5280897661567e-20
Mammalia,FDis,npp,0.376073585718902,9.91417239633138e-27,0.648935896279923,1164,Productivity,Endotherm,6.39626950348238e-26
Mammalia,FDis,elev_range,0.247385498449499,2.22826007341884e-25,0.648935896279923,1164,Habitat heterogeneity,Endotherm,1.23411327143197e-24
Mammalia,FDis,bio4_mean,0.0961842485000146,0.00098656395715335,0.648935896279923,1164,Climatic seasonality,Endotherm,0.00122470008474209
Mammalia,FDis,hfp2020,0.178731944463341,1.28068433482456e-11,0.648935896279923,1164,Human pressure,Endotherm,3.13626514035499e-11
Mammalia,RaoQ,bio1_mean,-0.00957256577403607,0.738724648099901,0.632058819996978,1164,Ambient energy,Endotherm,0.759831066617041
Mammalia,RaoQ,bio12_mean,0.370345250322515,3.53843605558531e-19,0.632058819996978,1164,Water availability,Endotherm,1.41537442223412e-18
Mammalia,RaoQ,npp,0.371223443418447,4.80698118359192e-25,0.632058819996978,1164,Productivity,Endotherm,2.30735096812412e-24
Mammalia,RaoQ,elev_range,0.206569166726515,1.16336437631154e-17,0.632058819996978,1164,Habitat heterogeneity,Endotherm,4.40853868918059e-17
Mammalia,RaoQ,bio4_mean,0.0669009010133552,0.0250243039441428,0.632058819996978,1164,Climatic seasonality,Endotherm,0.0277192289842812
Mammalia,RaoQ,hfp2020,0.190710067788234,1.77658018269636e-12,0.632058819996978,1164,Human pressure,Endotherm,5.11655092616551e-12
Reptilia,FEve,bio1_mean,0.231300119685017,1.68995908956388e-08,0.389034934815786,1017,Ambient energy,Ectotherm,3.04192636121498e-08
Reptilia,FEve,bio12_mean,0.305871092046175,6.10567852360456e-08,0.389034934815786,1017,Water availability,Ectotherm,1.04668774690364e-07
Reptilia,FEve,npp,0.356632257743949,3.63750966372998e-14,0.389034934815786,1017,Productivity,Ectotherm,1.13869867734156e-13
Reptilia,FEve,elev_range,0.163522727792184,6.67194078953931e-06,0.389034934815786,1017,Habitat heterogeneity,Ectotherm,1.0007911184309e-05
Reptilia,FEve,bio4_mean,0.206681909043961,8.18563259397071e-06,0.389034934815786,1017,Climatic seasonality,Ectotherm,1.20278683013447e-05
Reptilia,FEve,hfp2020,-0.104662681039669,0.00381955882519451,0.389034934815786,1017,Human pressure,Ectotherm,0.00450833172809844
Reptilia,FDis,bio1_mean,0.236626257447719,1.30677714181458e-11,0.558855530483219,1017,Ambient energy,Ectotherm,3.13626514035499e-11
Reptilia,FDis,bio12_mean,0.201488213138894,2.54799088739028e-05,0.558855530483219,1017,Water availability,Ectotherm,3.52798738254039e-05
Reptilia,FDis,npp,0.168321507144475,2.15748344995776e-05,0.558855530483219,1017,Productivity,Ectotherm,3.04585898817566e-05
Reptilia,FDis,elev_range,0.133121591799951,1.58360744798164e-05,0.558855530483219,1017,Habitat heterogeneity,Ectotherm,2.28039472509356e-05
Reptilia,FDis,bio4_mean,-0.2691464419368,1.11407678098063e-11,0.558855530483219,1017,Climatic seasonality,Ectotherm,2.97087141594834e-11
Reptilia,FDis,hfp2020,0.00169605042361632,0.955915498740356,0.558855530483219,1017,Human pressure,Ectotherm,0.955915498740356
Reptilia,RaoQ,bio1_mean,0.223648065881858,1.21942444852327e-11,0.607108404445656,1017,Ambient energy,Ectotherm,3.13566286763126e-11
Reptilia,RaoQ,bio12_mean,0.0942193039638964,0.0363287871317806,0.607108404445656,1017,Water availability,Ectotherm,0.0396314041437607
Reptilia,RaoQ,npp,0.103861508820966,0.00536008016541897,0.607108404445656,1017,Productivity,Ectotherm,0.00622460922435752
Reptilia,RaoQ,elev_range,0.11282146459192,0.000104433415063726,0.607108404445656,1017,Habitat heterogeneity,Ectotherm,0.000139244553418302
Reptilia,RaoQ,bio4_mean,-0.433414013605977,7.45926017367336e-30,0.607108404445656,1017,Climatic seasonality,Ectotherm,5.96740813893869e-29
Reptilia,RaoQ,hfp2020,0.0722660156066769,0.0127024980449843,0.607108404445656,1017,Human pressure,Ectotherm,0.0145171406228393
Amphibia,FEve,bio1_mean,-0.813632594263357,7.57142296515569e-15,0.246306917685531,624,Ambient energy,Ectotherm,2.59591644519624e-14
Amphibia,FEve,bio12_mean,0.525380689873344,2.90092513431987e-14,0.246306917685531,624,Water availability,Ectotherm,9.49393680322867e-14
Amphibia,FEve,npp,0.319379010791684,4.5432097766167e-09,0.246306917685531,624,Productivity,Ectotherm,8.60818694516847e-09
Amphibia,FEve,elev_range,-0.175334221309423,0.00323964583169233,0.246306917685531,624,Habitat heterogeneity,Ectotherm,0.0038875749980308
Amphibia,FEve,bio4_mean,-0.561212941724696,1.60283587959416e-10,0.246306917685531,624,Climatic seasonality,Ectotherm,3.39424068619939e-10
Amphibia,FEve,hfp2020,0.177081888029478,0.000769351125099197,0.246306917685531,624,Human pressure,Ectotherm,0.000971811947493723
Amphibia,FDis,bio1_mean,0.0598796881899649,0.535607388976151,0.324641926951624,624,Ambient energy,Ectotherm,0.575578089646013
Amphibia,FDis,bio12_mean,-0.692114433654303,3.58101371499385e-25,0.324641926951624,624,Water availability,Ectotherm,1.84166419628255e-24
Amphibia,FDis,npp,0.362494743244425,2.78055339123323e-12,0.324641926951624,624,Productivity,Ectotherm,7.69999400649203e-12
Amphibia,FDis,elev_range,0.206056843934932,0.000264127657088409,0.324641926951624,624,Habitat heterogeneity,Ectotherm,0.000339592701970812
Amphibia,FDis,bio4_mean,-0.391454413285749,2.05540799551705e-06,0.324641926951624,624,Climatic seasonality,Ectotherm,3.28865279282728e-06
Amphibia,FDis,hfp2020,0.367204305606825,4.31643092663149e-13,0.324641926951624,624,Human pressure,Ectotherm,1.29492927798945e-12
Amphibia,RaoQ,bio1_mean,0.0486394238531432,0.613323335030762,0.330305030668736,624,Ambient energy,Ectotherm,0.649401178267866
Amphibia,RaoQ,bio12_mean,-0.733922461008817,4.91582053487108e-28,0.330305030668736,624,Water availability,Ectotherm,3.53939078510717e-27
Amphibia,RaoQ,npp,0.322369153742145,3.71331017364723e-10,0.330305030668736,624,Productivity,Ectotherm,7.6388095000743e-10
Amphibia,RaoQ,elev_range,0.227626247700248,5.29855161089698e-05,0.330305030668736,624,Habitat heterogeneity,Ectotherm,7.19803237706759e-05
Amphibia,RaoQ,bio4_mean,-0.497922022684357,1.63410732422068e-09,0.330305030668736,624,Climatic seasonality,Ectotherm,3.26821464844137e-09
Amphibia,RaoQ,hfp2020,0.329204522349389,5.80485167378854e-11,0.330305030668736,624,Human pressure,Ectotherm,1.26651309246296e-10
