term,estimate,se,p,n,class,source,response,thermal,p_adj
ax_human,-0.0915340332540783,0.0659135470660084,0.164924499842028,163,Reptilia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.274329861123373
ax_thermal,-0.407929925135659,0.0840384363229617,1.20942317138883e-06,163,Reptilia,Occurrence,habitat_breadth.mean,Ectotherm,7.89291083220106e-06
ax_water,-0.353869020291532,0.0804631354416929,1.09302083699525e-05,163,Reptilia,Occurrence,habitat_breadth.mean,Ectotherm,5.92346776178072e-05
ax_productivity,0.223184548522743,0.0976204431744287,0.0222397507751126,163,Reptilia,Occurrence,habitat_breadth.mean,Ectotherm,0.0561846335371267
ax_structure,-0.242201458786839,0.0746293161093198,0.00117288640276225,163,Reptilia,Occurrence,habitat_breadth.mean,Ectotherm,0.00480597355278191
ax_human,0.255822612145859,0.0849892320391571,0.00261196852018997,163,Reptilia,Occurrence,habitat_breadth.mean,Ectotherm,0.00953936329112857
ax_thermal,-0.410168129502543,0.0819240650505861,5.53749399445636e-07,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,3.9587191109305e-06
ax_water,-0.381644903260535,0.0797157327646253,1.68810200817937e-06,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,1.03127686317867e-05
ax_productivity,0.200393037285847,0.0966549100101908,0.038145896459324,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.0863247719904679
ax_structure,-0.243757989948375,0.0734611197745971,0.000906026681785965,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.00380531206350105
ax_human,0.260932320378449,0.0835020433770231,0.00177888795514858,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.00664118169922136
coverage,-0.117523880589399,0.0652271834808989,0.0715828104213825,163,Reptilia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.140135804155064
ax_thermal,-0.257644977143788,0.0559559149754877,4.13601237458927e-06,3196,Reptilia,Range map,range_size.mean,Ectotherm,2.43807045238946e-05
ax_water,0.0929386618509481,0.0432973702679066,0.0318315321231999,3196,Reptilia,Range map,range_size.mean,Ectotherm,0.0742735749541331
ax_productivity,-0.0121854614928496,0.0259312391044064,0.638416208067145,3196,Reptilia,Range map,range_size.mean,Ectotherm,0.760666120250215
ax_structure,0.00720219304393552,0.0112546966552727,0.522219552536213,3196,Reptilia,Range map,range_size.mean,Ectotherm,0.667170226814326
ax_human,0.0153433560856087,0.0146458880521909,0.294812748411094,3196,Reptilia,Range map,range_size.mean,Ectotherm,0.423634894939428
ax_thermal,-0.216777926474036,0.216221634182765,0.316067031070444,163,Reptilia,"Range map, same cells",range_size.mean,Ectotherm,0.448095031391009
ax_water,0.470176768047613,0.200480167313333,0.019014158559018,163,Reptilia,"Range map, same cells",range_size.mean,Ectotherm,0.0499121662174223
ax_productivity,0.041410902328991,0.136895943898774,0.762271605482266,163,Reptilia,"Range map, same cells",range_size.mean,Ectotherm,0.874140817208333
ax_structure,-0.451874587972032,0.0832145724593051,5.62802560111209e-08,163,Reptilia,"Range map, same cells",range_size.mean,Ectotherm,4.84876051788118e-07
ax_human,0.0387196943643543,0.106654220427171,0.716575381068784,163,Reptilia,"Range map, same cells",range_size.mean,Ectotherm,0.830239062203833
ax_thermal,-0.263323316371482,0.094086093766519,0.00513010735061692,163,Reptilia,Occurrence,range_size.mean,Ectotherm,0.0167351074738571
ax_water,-0.186196102891567,0.0904366710726657,0.0395080139638226,163,Reptilia,Occurrence,range_size.mean,Ectotherm,0.0884979512789627
ax_productivity,0.396743857714989,0.106446571715085,0.000193646261438252,163,Reptilia,Occurrence,range_size.mean,Ectotherm,0.00089115529191586
ax_structure,-0.429155211670752,0.0797357714200354,7.3574058401249e-08,163,Reptilia,Occurrence,range_size.mean,Ectotherm,6.02948381044382e-07
ax_human,0.343159571869002,0.0917048618130761,0.000182561682031679,163,Reptilia,Occurrence,range_size.mean,Ectotherm,0.000851954516147835
ax_thermal,-0.266478854952115,0.0935730162699439,0.00440201871329826,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,0.0146443394818635
ax_water,-0.206021924509736,0.0911638309697848,0.0238269248145757,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,0.0588665201301282
ax_productivity,0.378629206153202,0.106752287096401,0.000389937800710394,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,0.00167973206459862
ax_structure,-0.429724829867499,0.0793056350485915,6.00704366249261e-08,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,5.04591667649379e-07
ax_human,0.346929065954159,0.0912469855771219,0.00014348176098955,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,0.000679012277358997
coverage,-0.0894798764462984,0.0682275783884965,0.189691826322168,163,Reptilia,Occurrence + coverage,range_size.mean,Ectotherm,0.302068500683642
ax_thermal,-0.49658696963094,0.0629238525777594,2.88657986402541e-15,3196,Reptilia,Range map,habitat_breadth.var,Ectotherm,6.46593889541691e-14
ax_water,-0.0420387963495643,0.0509499916145179,0.409315284700285,3196,Reptilia,Range map,habitat_breadth.var,Ectotherm,0.541456439603527
ax_productivity,0.0475392111023441,0.0316552310307834,0.133153786237844,3196,Reptilia,Range map,habitat_breadth.var,Ectotherm,0.234239121339872
ax_structure,0.00288114658888866,0.0139858277794905,0.836787221385742,3196,Reptilia,Range map,habitat_breadth.var,Ectotherm,0.914708038748023
ax_human,0.0390128925533841,0.0180114208356607,0.0303105292403678,3196,Reptilia,Range map,habitat_breadth.var,Ectotherm,0.0712191456277174
ax_thermal,-0.37840002629541,0.149512239791967,0.0113771367160942,163,Reptilia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.0318559828050637
ax_water,-0.384092954840638,0.139390553953774,0.00585995700413222,163,Reptilia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.0185749580508342
ax_productivity,0.25317088701685,0.0963370054498323,0.00858957582390652,163,Reptilia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.0250964997985443
ax_structure,-0.0919011593241156,0.0587582577165787,0.117804602466498,163,Reptilia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.209430404384885
ax_human,0.172480959628069,0.075134640433574,0.0216973315538271,163,Reptilia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.0556511710082894
ax_thermal,-0.0184777943418414,0.126374631204613,0.883752116527931,163,Reptilia,Occurrence,habitat_breadth.var,Ectotherm,0.930848624305282
ax_water,-0.386327466403909,0.12291308347157,0.00167171722117354,163,Reptilia,Occurrence,habitat_breadth.var,Ectotherm,0.00638292029902625
ax_productivity,-0.157095990368324,0.124468730955024,0.206901228608705,163,Reptilia,Occurrence,habitat_breadth.var,Ectotherm,0.325815884877406
ax_structure,-0.0204685744679861,0.0860076223987366,0.811892273316379,163,Reptilia,Occurrence,habitat_breadth.var,Ectotherm,0.902909188886423
ax_human,-0.013264622943785,0.102868423434765,0.897399214564353,163,Reptilia,Occurrence,habitat_breadth.var,Ectotherm,0.939333757301005
ax_thermal,-0.0220959038325162,0.127242450355425,0.862138976033084,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.925491041364588
ax_water,-0.392322844692642,0.124334627930569,0.00160289866858654,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.00626248782145438
ax_productivity,-0.167031773796689,0.125185624535568,0.182114468353753,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.294184910417601
ax_structure,-0.0202051315003372,0.0859895955975673,0.814230607835078,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.902909188886423
ax_human,-0.010646848624728,0.103082863644164,0.91773728024025,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.957357638250907
coverage,-0.04656382359914,0.0679403474342298,0.493114670027427,163,Reptilia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.634814287851401
ax_thermal,-0.367316868443034,0.0899922598349256,4.47171860482598e-05,1994,Amphibia,Range map,body_mass.mean,Ectotherm,0.000234765226753364
ax_water,-0.012456475475845,0.0584255310182653,0.831168935626185,1994,Amphibia,Range map,body_mass.mean,Ectotherm,0.914708038748023
ax_productivity,-0.0660685321360687,0.0279106792299049,0.017926068945062,1994,Amphibia,Range map,body_mass.mean,Ectotherm,0.0474264501223687
ax_structure,-0.0297821703916496,0.0214441549248576,0.164886085675651,1994,Amphibia,Range map,body_mass.mean,Ectotherm,0.274329861123373
ax_human,-0.0420981086796374,0.0231844494343616,0.0694024777375504,1994,Amphibia,Range map,body_mass.mean,Ectotherm,0.137983624377615
ax_thermal,-0.401269728444751,0.107758872645233,0.000196266344052898,167,Amphibia,"Range map, same cells",body_mass.mean,Ectotherm,0.00089115529191586
ax_water,0.0568041829061308,0.120098654397194,0.636227915286782,167,Amphibia,"Range map, same cells",body_mass.mean,Ectotherm,0.760666120250215
ax_productivity,-0.463559293259145,0.0752228817488837,7.16156467461815e-10,167,Amphibia,"Range map, same cells",body_mass.mean,Ectotherm,8.2975370023162e-09
ax_structure,-0.0713197817336909,0.0757865553432366,0.346673531190634,167,Amphibia,"Range map, same cells",body_mass.mean,Ectotherm,0.478893691202384
ax_human,-0.267000232320006,0.0851259848617908,0.00170959760305855,167,Amphibia,"Range map, same cells",body_mass.mean,Ectotherm,0.00645421117559185
ax_thermal,-0.119685487705726,0.074550133816412,0.108397830906674,168,Amphibia,Occurrence,body_mass.mean,Ectotherm,0.197943865133927
ax_water,-0.00472987274817228,0.0915464750298799,0.958794545626297,168,Amphibia,Occurrence,body_mass.mean,Ectotherm,0.978508109338395
ax_productivity,-0.182970288726543,0.0977151534144127,0.0611393517615642,168,Amphibia,Occurrence,body_mass.mean,Ectotherm,0.126029583999298
ax_structure,0.440554547346816,0.0911383732194003,1.33878210806238e-06,168,Amphibia,Occurrence,body_mass.mean,Ectotherm,8.48737336431996e-06
ax_human,-0.0299007097122515,0.103242146909386,0.772109046219438,168,Amphibia,Occurrence,body_mass.mean,Ectotherm,0.876491926796906
ax_thermal,-0.117851630189374,0.0742819167515232,0.112615651493056,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,0.203434725277779
ax_water,-0.0386764511495863,0.093399858090798,0.678804245007605,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,0.79577870448851
ax_productivity,-0.19248861502869,0.0972311362128602,0.047737092858489,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,0.102163459875492
ax_structure,0.460809359637002,0.0913927118620462,4.60498810639365e-07,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,3.36364348640927e-06
ax_human,-0.00471008008351502,0.103647444940275,0.963753982443557,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,0.978508109338395
coverage,-0.119091297401592,0.0716157986058647,0.0963285801121723,168,Amphibia,Occurrence + coverage,body_mass.mean,Ectotherm,0.177837378668626
ax_thermal,0.0282010378720521,0.0379558205821476,0.457483862846859,1994,Amphibia,Range map,habitat_breadth.mean,Ectotherm,0.593492578828358
ax_water,-0.0310887024111829,0.021983455766519,0.157307203532824,1994,Amphibia,Range map,habitat_breadth.mean,Ectotherm,0.269669491770555
ax_productivity,-0.013891116957879,0.010238370927309,0.174854226971517,1994,Amphibia,Range map,habitat_breadth.mean,Ectotherm,0.285199127487522
ax_structure,-0.0494540447281565,0.00763182793122425,9.17386167031964e-11,1994,Amphibia,Range map,habitat_breadth.mean,Ectotherm,1.23296700849096e-09
ax_human,0.00962316168953587,0.00840431574147686,0.252198305743188,1994,Amphibia,Range map,habitat_breadth.mean,Ectotherm,0.383432718233987
ax_thermal,-0.722941971147664,0.116377488767191,5.23000975860555e-10,167,Amphibia,"Range map, same cells",habitat_breadth.mean,Ectotherm,6.5084565884869e-09
ax_water,-0.22559474479592,0.12870374316106,0.0796325758779088,167,Amphibia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.152894545685585
ax_productivity,0.275793682273263,0.0767159546236456,0.000324394412701379,167,Amphibia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.0014155392554242
ax_structure,-0.295415238429844,0.0773338646972783,0.000133452546601909,167,Amphibia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.000640572223689162
ax_human,0.440245091119001,0.0868757097300917,4.03015246286387e-07,167,Amphibia,"Range map, same cells",habitat_breadth.mean,Ectotherm,3.00918050560502e-06
ax_thermal,-0.0991398386418595,0.105461842182211,0.347189803869585,168,Amphibia,Occurrence,habitat_breadth.mean,Ectotherm,0.478893691202384
ax_water,-0.276066467934075,0.121220214647148,0.0227625710485513,168,Amphibia,Occurrence,habitat_breadth.mean,Ectotherm,0.0570762975545764
ax_productivity,0.271324423855357,0.0989099457653966,0.00608536189509756,168,Amphibia,Occurrence,habitat_breadth.mean,Ectotherm,0.0189322370069702
ax_structure,-0.257764106978231,0.0950584063105406,0.00669514102848656,168,Amphibia,Occurrence,habitat_breadth.mean,Ectotherm,0.0204506125961044
ax_human,0.521118064008195,0.107400203884434,1.22152191450731e-06,168,Amphibia,Occurrence,habitat_breadth.mean,Ectotherm,7.89291083220106e-06
ax_thermal,-0.0990128286797694,0.105453129023879,0.347768037658874,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.478893691202384
ax_water,-0.27597704801545,0.121735324162622,0.023388686133355,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.0582118410430169
ax_productivity,0.271363643985765,0.0990669363978826,0.0061589855635118,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.0189854967829355
ax_structure,-0.25800849289692,0.0966621105786736,0.00760368750914808,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.0224974060606162
ax_human,0.520897377112367,0.10848818419041,1.57544158652101e-06,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,9.80274764946406e-06
coverage,0.000829283496361574,0.0667329607353307,0.990085027529374,168,Amphibia,Occurrence + coverage,habitat_breadth.mean,Ectotherm,0.990122940105179
ax_thermal,-0.00280687528593879,0.0598378154710608,0.962586511574547,1994,Amphibia,Range map,range_size.mean,Ectotherm,0.978508109338395
ax_water,-0.0703401235972305,0.0356498713052303,0.0484862071991803,1994,Amphibia,Range map,range_size.mean,Ectotherm,0.103109908980535
ax_productivity,-0.00859537108026914,0.0167398190080565,0.607623584556059,1994,Amphibia,Range map,range_size.mean,Ectotherm,0.739715668155202
ax_structure,-0.0729785066677348,0.0125750456196236,6.49685039100234e-09,1994,Amphibia,Range map,range_size.mean,Ectotherm,6.61497494356602e-08
ax_human,0.0276678283672502,0.0137796023363195,0.0446557331087207,1994,Amphibia,Range map,range_size.mean,Ectotherm,0.0969033686770061
ax_thermal,-0.320373289436075,0.116704670403319,0.00604809341280843,167,Amphibia,"Range map, same cells",range_size.mean,Ectotherm,0.0189322370069702
ax_water,-0.0677162384454473,0.129251992148217,0.600342068856548,167,Amphibia,"Range map, same cells",range_size.mean,Ectotherm,0.736185894656205
ax_productivity,0.13090277705884,0.0776535573122097,0.0918481982421837,167,Amphibia,"Range map, same cells",range_size.mean,Ectotherm,0.171449970052076
ax_structure,-0.27127651672735,0.0782755983258383,0.000528934048749319,167,Amphibia,"Range map, same cells",range_size.mean,Ectotherm,0.00224964354911103
ax_human,0.196945836294759,0.0879262251915383,0.0250975009597876,167,Amphibia,"Range map, same cells",range_size.mean,Ectotherm,0.0615529950546615
ax_thermal,-0.0706845804908394,0.125200961284506,0.572366961222139,168,Amphibia,Occurrence,range_size.mean,Ectotherm,0.714926761972635
ax_water,-0.218098129896851,0.142358111652107,0.125512896201436,168,Amphibia,Occurrence,range_size.mean,Ectotherm,0.221959648019382
ax_productivity,0.214982665315992,0.10511752638802,0.040838613055866,168,Amphibia,Occurrence,range_size.mean,Ectotherm,0.0902748288603354
ax_structure,-0.134014280223571,0.101873530697064,0.188343069287787,168,Amphibia,Occurrence,range_size.mean,Ectotherm,0.301348910860459
ax_human,0.330597376282154,0.114659321721595,0.00393530778780016,168,Amphibia,Occurrence,range_size.mean,Ectotherm,0.0133561961282914
ax_thermal,-0.0547529972703861,0.120861574342191,0.650532630956449,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.769644239441433
ax_water,-0.197596480888268,0.137896490524354,0.15187688382344,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.263044499817917
ax_productivity,0.229341339623545,0.103464046071688,0.0266484973785786,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.0636435119116496
ax_structure,-0.183766069237705,0.101753855591233,0.0709204794482075,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.140135804155064
ax_human,0.287987809352552,0.113723279749308,0.0113298953941343,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.0318559828050637
coverage,0.165445752797756,0.0686953558636826,0.0160227060222409,168,Amphibia,Occurrence + coverage,range_size.mean,Ectotherm,0.0437693432802678
ax_thermal,-0.0649380397774974,0.0849418816679919,0.444569538363237,1994,Amphibia,Range map,habitat_breadth.var,Ectotherm,0.578974282519564
ax_water,-0.0934113022314014,0.051239485806153,0.068298308133967,1994,Amphibia,Range map,habitat_breadth.var,Ectotherm,0.136596616267934
ax_productivity,-0.0689497751593209,0.0241226767257649,0.00425921498147241,1994,Amphibia,Range map,habitat_breadth.var,Ectotherm,0.0143109623377473
ax_structure,-0.0192547586662393,0.0181811941259677,0.289577885237697,1994,Amphibia,Range map,habitat_breadth.var,Ectotherm,0.419388661378734
ax_human,-0.0319928442839789,0.0198819965713765,0.107586520652569,1994,Amphibia,Range map,habitat_breadth.var,Ectotherm,0.197535906771929
ax_thermal,-0.723577112282727,0.110106046057668,4.9764636855798e-11,167,Amphibia,"Range map, same cells",habitat_breadth.var,Ectotherm,7.2699643406731e-10
ax_water,-0.313024027218022,0.122004996392457,0.0102978040423938,167,Amphibia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.029573180839695
ax_productivity,0.0297041492277234,0.0735100732010657,0.686151902463097,167,Amphibia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.800510552873614
ax_structure,-0.467994372857987,0.0740973904352817,2.68531197278321e-10,167,Amphibia,"Range map, same cells",habitat_breadth.var,Ectotherm,3.47024931867369e-09
ax_human,-0.0419250886109541,0.083230898105713,0.614457977859479,167,Amphibia,"Range map, same cells",habitat_breadth.var,Ectotherm,0.7453353088837
ax_thermal,-0.0603356357123961,0.108095786236102,0.576729500059649,168,Amphibia,Occurrence,habitat_breadth.var,Ectotherm,0.717707822296452
ax_water,0.238664090744352,0.124693033726904,0.0556184914449343,168,Amphibia,Occurrence,habitat_breadth.var,Ectotherm,0.116073373450298
ax_productivity,0.31182596311102,0.104375279254595,0.00281226837111293,168,Amphibia,Occurrence,habitat_breadth.var,Ectotherm,0.0100523635392973
ax_structure,0.0271733713162156,0.100074715320581,0.785982784961749,168,Amphibia,Occurrence,habitat_breadth.var,Ectotherm,0.883244868719557
ax_human,0.0914618522116712,0.113173358415447,0.419000155057568,168,Amphibia,Occurrence,habitat_breadth.var,Ectotherm,0.552094321958207
ax_thermal,-0.0588536492314893,0.10942367395115,0.590679813475081,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.726990539661639
ax_water,0.23264185633839,0.126646162663794,0.0662182238048292,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.134032067460377
ax_productivity,0.305502190442863,0.104567443357492,0.00348260403169198,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.0121891141109219
ax_structure,0.0402205121022235,0.101868550637285,0.6929701481006,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.80566771543876
ax_human,0.0975541966883827,0.114422186813786,0.3938916337416,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.527281230825409
coverage,-0.0387579066122862,0.0706475805084829,0.583273729256322,168,Amphibia,Occurrence + coverage,habitat_breadth.var,Ectotherm,0.721782738797336
