class,grain,env,trait,stat,p_maxtest,p_naive,r2_naive,p_naive_adj,thermal
Aves,50km,npp,diet_plant,-0.148838111137754,0.00344827586206897,1.73324220761889e-185,0.517232384821109,1.01955423977582e-184,Endotherm
Aves,50km,elev_range,diet_plant,-0.0253599200358521,0.126582278481013,0.474856877816379,0.000440689782281852,0.489543173006576,Endotherm
Aves,50km,het_shannon,diet_plant,-0.0894038936725671,0.00344827586206897,3.32800186139075e-69,0.234219617520514,8.75789963523882e-69,Endotherm
Aves,50km,hfp2020,diet_plant,-0.121935037047649,0.00344827586206897,4.11364560135149e-122,0.379153315984334,1.71401900056312e-121,Endotherm
Aves,50km,lc_cropland,diet_plant,-0.0227059103871527,0.228235294117647,8.95845483551453e-19,0.0653347912110462,1.24422983826591e-18,Endotherm
Aves,50km,bio1_mean,habitat_breadth,-0.1257261144146,0.00344827586206897,4.62890280627694e-42,0.147348954047049,8.90173616591719e-42,Endotherm
Aves,50km,bio6_mean,habitat_breadth,-0.166744125568312,0.00344827586206897,8.64243597804388e-111,0.350628186292679,2.98015033725651e-110,Endotherm
Aves,50km,bio4_mean,habitat_breadth,0.202340516669318,0.00344827586206897,1.66698963072857e-208,0.559395626225166,1.38915802560714e-207,Endotherm
Aves,50km,bio12_mean,habitat_breadth,-0.175223502240078,0.00344827586206897,1.56334967306198e-168,0.483617689463044,8.68527596145546e-168,Endotherm
Aves,50km,bio15_mean,habitat_breadth,0.05176089294844,0.0228571428571429,6.78911097200351e-15,0.0510121590882033,8.70398842564553e-15,Endotherm
Aves,50km,npp,habitat_breadth,-0.0906423220990118,0.00645161290322581,3.01647406107278e-59,0.203410825903288,7.18208109779234e-59,Endotherm
Aves,50km,elev_range,habitat_breadth,-0.116664149529183,0.00344827586206897,1.742520399931e-44,0.155484143599916,3.41670666653137e-44,Endotherm
Aves,50km,het_shannon,habitat_breadth,-0.104386749091085,0.00344827586206897,2.4494828191645e-65,0.222397266517943,6.28072517734487e-65,Endotherm
Aves,50km,hfp2020,habitat_breadth,-0.0461397350169434,0.0586666666666667,2.47746659390295e-20,0.0710383714596422,3.53923799128993e-20,Endotherm
Aves,50km,lc_cropland,habitat_breadth,0.0246276128690104,0.145679012345679,0.608558204576241,0.000226370387870048,0.620977759771675,Endotherm
Aves,50km,bio1_mean,litter_size,-0.157362391189004,0.00344827586206897,1.70908149795531e-91,0.298977553302753,5.34087968111033e-91,Endotherm
Aves,50km,bio6_mean,litter_size,-0.196200461137252,0.00344827586206897,2.1996520565212e-225,0.587959811627297,1.99968368774654e-224,Endotherm
Aves,50km,bio4_mean,litter_size,0.221114357211512,0.00344827586206897,0,0.810730735699842,0,Endotherm
Aves,50km,bio12_mean,litter_size,-0.161824400224221,0.00344827586206897,1.48471037912943e-117,0.367824817109907,5.93884151651772e-117,Endotherm
Aves,50km,bio15_mean,litter_size,0.0818322528013348,0.00344827586206897,3.2912101036316e-33,0.116999320657511,5.67450017867517e-33,Endotherm
Aves,50km,npp,litter_size,-0.0368845981239628,0.241860465116279,5.09210369089855e-06,0.0177959943653912,5.99071022458653e-06,Endotherm
Aves,50km,elev_range,litter_size,-0.101381067234462,0.00344827586206897,1.33527494115511e-36,0.128748665422082,2.47273137250946e-36,Endotherm
Aves,50km,het_shannon,litter_size,-0.0329057703722351,0.166666666666667,0.000133059348521808,0.0125216684348386,0.000154720172699777,Endotherm
Aves,50km,hfp2020,litter_size,-0.04542040270527,0.0753246753246753,8.5610765588569e-11,0.0357086854969011,1.05692303195764e-10,Endotherm
Aves,50km,lc_cropland,litter_size,0.0683263560043699,0.00344827586206897,3.0716128367464e-17,0.0596876332457039,4.09548378232853e-17,Endotherm
Aves,50km,bio1_mean,range_size,-0.203987121585459,0.00344827586206897,2.47416764173698e-58,0.200522609398859,5.75387823659762e-58,Endotherm
Aves,50km,bio6_mean,range_size,-0.272054266264572,0.00344827586206897,3.23469741255842e-155,0.455588723963995,1.5403321012183e-154,Endotherm
Aves,50km,bio4_mean,range_size,0.327848038491429,0.00344827586206897,5.4499339090065e-294,0.686231650364847,1.36248347725163e-292,Endotherm
Aves,50km,bio12_mean,range_size,-0.274854316464544,0.00344827586206897,3.76773169384049e-204,0.55171184407197,2.89825514910807e-203,Endotherm
Aves,50km,bio15_mean,range_size,0.111952466242147,0.00344827586206897,6.12171092879368e-30,0.105531757560054,1.03757812352435e-29,Endotherm
