estimate,se,z,p,term,n,lambda,class,clade,order,response,n_species,thermal,p_adj
-0.00272416316557049,0.0582059421494382,-0.0468021488008296,0.962670916416671,ax_water,476,0.921606087246312,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.mean,37,Ectotherm,0.978987372627122
0.0667968112930107,0.059024576611392,1.1316779404076,0.257769859082222,ax_productivity,476,0.921606087246312,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.mean,37,Ectotherm,0.445361536634205
0.0486929769063113,0.0421993163086238,1.15388070627013,0.248549080216538,ax_structure,476,0.921606087246312,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.mean,37,Ectotherm,0.434205617219884
0.13911236187476,0.0393724653794645,3.53323980436634,0.000410499940998843,ax_human,476,0.921606087246312,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.mean,37,Ectotherm,0.00459203323829214
-0.0829856327648149,0.167269081290703,-0.496120574851433,0.619809343750108,ax_thermal,476,0.956737148691013,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.var,37,Ectotherm,0.774348539415843
0.0281689857991336,0.0608097344462816,0.463231521328508,0.643198424404605,ax_water,476,0.956737148691013,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.var,37,Ectotherm,0.786131407605629
-0.180485712369572,0.060122236093194,-3.00197936899428,0.00268230353568222,ax_productivity,476,0.956737148691013,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.var,37,Ectotherm,0.0192426123211985
-0.0952216525592663,0.043135101004161,-2.20752126093505,0.0272776633124539,ax_structure,476,0.956737148691013,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.var,37,Ectotherm,0.100018098812331
-0.0373170924341388,0.0402323090106537,-0.927540410973109,0.35364602030935,ax_human,476,0.956737148691013,Reptilia,GEKKONIDAE,SQUAMATA,SES.habitat_breadth.var,37,Ectotherm,0.550486729726818
0.305549707180222,0.20998285755958,1.45511738782546,0.145636766247641,ax_thermal,162,0.93913888524693,Reptilia,LACERTIDAE,SQUAMATA,SES.FDis,31,Ectotherm,0.303218503859442
-0.145132550260935,0.0928175184350184,-1.56363316654002,0.117903741294918,ax_water,162,0.93913888524693,Reptilia,LACERTIDAE,SQUAMATA,SES.FDis,31,Ectotherm,0.265585219299134
0.410343813451805,0.110725222728929,3.70596512103104,0.000210587280704999,ax_productivity,162,0.93913888524693,Reptilia,LACERTIDAE,SQUAMATA,SES.FDis,31,Ectotherm,0.0026962768683396
-0.0235250156542799,0.0393736927886045,-0.597480550797829,0.550186588392049,ax_structure,162,0.93913888524693,Reptilia,LACERTIDAE,SQUAMATA,SES.FDis,31,Ectotherm,0.720833845815081
-0.08126036844706,0.0768565834364125,-1.05729873504319,0.29037527040057,ax_human,162,0.93913888524693,Reptilia,LACERTIDAE,SQUAMATA,SES.FDis,31,Ectotherm,0.487653125863553
0.254956451130612,0.192374249118722,1.32531486047942,0.185066742179673,ax_thermal,162,0.936206276180611,Reptilia,LACERTIDAE,SQUAMATA,SES.RaoQ,31,Ectotherm,0.364609103995775
-0.142893498604007,0.0851307193456935,-1.67851863231361,0.0932458961882723,ax_water,162,0.936206276180611,Reptilia,LACERTIDAE,SQUAMATA,SES.RaoQ,31,Ectotherm,0.231361998061127
0.396327294755249,0.101579281942545,3.90165481755835,9.5537328261841e-05,ax_productivity,162,0.936206276180611,Reptilia,LACERTIDAE,SQUAMATA,SES.RaoQ,31,Ectotherm,0.00137075297071337
-0.0396819140358813,0.0361475345889829,-1.09777650086199,0.272302095070138,ax_structure,162,0.936206276180611,Reptilia,LACERTIDAE,SQUAMATA,SES.RaoQ,31,Ectotherm,0.464391169887057
-0.0911026124263463,0.0705710257393523,-1.29093507529316,0.196726191535525,ax_human,162,0.936206276180611,Reptilia,LACERTIDAE,SQUAMATA,SES.RaoQ,31,Ectotherm,0.375151495031937
-0.570523660517217,0.197162332412618,-2.89367473764327,0.00380762364066922,ax_thermal,162,0.955818743412756,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.mean,31,Ectotherm,0.0245005500666556
-0.29644137620171,0.0866576423498752,-3.42083361793811,0.000624295129348473,ax_water,162,0.955818743412756,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.mean,31,Ectotherm,0.00597151862855061
0.0964133806579038,0.103259195894207,0.93370260946718,0.350457318588018,ax_productivity,162,0.955818743412756,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.mean,31,Ectotherm,0.54681283751322
-0.116377263381542,0.0365888315396238,-3.18067723085149,0.00146931233653347,ax_structure,162,0.955818743412756,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.mean,31,Ectotherm,0.0121472519808435
0.0502010047461423,0.0713418923503833,0.703667972522915,0.481639570111943,ax_human,162,0.955818743412756,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.mean,31,Ectotherm,0.662632462543817
-0.355631904560795,0.231186630827271,-1.53828923103474,0.123977911640531,ax_thermal,162,0.88852489809783,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.var,31,Ectotherm,0.274581951955539
-0.34610972866789,0.104757698795538,-3.30390732755036,0.000953473450835851,ax_water,162,0.88852489809783,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.var,31,Ectotherm,0.00850395239934678
0.629384229041689,0.125594995079682,5.01122061943939,5.40858634545671e-07,ax_productivity,162,0.88852489809783,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.var,31,Ectotherm,1.42786679520057e-05
-0.080931347559108,0.0453865662223816,-1.78315643361445,0.0745608421076736,ax_structure,162,0.88852489809783,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.var,31,Ectotherm,0.198340096302218
-0.0731835858143248,0.0887759528181649,-0.824362718631958,0.409733491528791,ax_human,162,0.88852489809783,Reptilia,LACERTIDAE,SQUAMATA,SES.body_mass.var,31,Ectotherm,0.602866306140888
-0.432683711682436,0.239182492160218,-1.80901080080978,0.070449325393267,ax_thermal,162,0.915098028944209,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.mean,31,Ectotherm,0.192917755866444
-0.743603458779427,0.10683606437938,-6.96022886184628,3.39728245535298e-12,ax_water,162,0.915098028944209,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.mean,31,Ectotherm,4.48441284106593e-10
0.103282725043342,0.127725841170059,0.808628262669469,0.418729002937816,ax_productivity,162,0.915098028944209,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.mean,31,Ectotherm,0.602866306140888
-0.16699309215737,0.0457260978356808,-3.6520302422802,0.000260175236056925,ax_structure,162,0.915098028944209,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.mean,31,Ectotherm,0.00323991803391643
-0.052974493340678,0.0893613744123077,-0.592811980445344,0.553306989059314,ax_human,162,0.915098028944209,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.mean,31,Ectotherm,0.721704768338235
