grain,response,term,interaction_estimate,se,t,p,p_adj
50km,SES.FDis,ax_water,-0.2746,0.0216,-12.71,,
50km,SES.FDis,ax_productivity,-0.4732,0.0178,-26.646,,
50km,SES.FDis,ax_structure,0.0864,0.0139,6.23,,
50km,SES.FDis,ax_human,0.0716,0.014,5.099,,
50km,SES.trait_vol,ax_thermal,-0.0821,0.0193,-4.254,,
50km,SES.trait_vol,ax_water,-0.3647,0.0224,-16.316,,
50km,SES.trait_vol,ax_productivity,-0.49,0.0184,-26.674,,
50km,SES.trait_vol,ax_structure,0.1157,0.0144,8.06,,
50km,SES.trait_vol,ax_human,0.0721,0.0145,4.964,,
50km,SES.RaoQ,ax_thermal,-0.0704,0.0194,-3.634,,
50km,SES.RaoQ,ax_water,-0.2663,0.0223,-11.931,,
50km,SES.RaoQ,ax_productivity,-0.4295,0.0185,-23.216,,
50km,SES.RaoQ,ax_structure,0.1247,0.0146,8.561,,
50km,SES.RaoQ,ax_human,0.084,0.0146,5.774,,
50km,SES.trait_dens,ax_thermal,0.2773,0.022,12.601,,
50km,SES.trait_dens,ax_water,-0.0229,0.0254,-0.903,,
50km,SES.trait_dens,ax_productivity,-0.2723,0.021,-12.948,,
50km,SES.trait_dens,ax_structure,0.2427,0.0166,14.654,,
50km,SES.trait_dens,ax_human,0.0487,0.0165,2.945,,
50km,SES.FRic,ax_thermal,-0.1071,0.0201,-5.314,,
50km,SES.FRic,ax_water,-0.3832,0.023,-16.653,,
50km,SES.FRic,ax_productivity,-0.2454,0.0197,-12.478,,
50km,SES.FRic,ax_structure,0.2878,0.0154,18.629,,
50km,SES.FRic,ax_human,0.134,0.0151,8.85,,
100km,SES.body_mass.mean,ax_thermal,0.7594,0.0412,18.43,,
100km,SES.body_mass.mean,ax_water,-0.2782,0.0476,-5.846,,
100km,SES.body_mass.mean,ax_productivity,0.5608,0.04,14.017,,
100km,SES.body_mass.mean,ax_structure,0.0833,0.0314,2.654,,
100km,SES.body_mass.mean,ax_human,0.1481,0.0314,4.718,,
100km,SES.nocturnality.mean,ax_thermal,0.1438,0.0362,3.969,,
100km,SES.nocturnality.mean,ax_water,0.1832,0.0418,4.38,,
100km,SES.nocturnality.mean,ax_productivity,0.0117,0.0356,0.329,,
100km,SES.nocturnality.mean,ax_structure,0.3226,0.0276,11.694,,
100km,SES.nocturnality.mean,ax_human,-0.2663,0.0277,-9.62,,
100km,SES.habitat_breadth.mean,ax_thermal,0.2063,0.0344,5.997,,
100km,SES.habitat_breadth.mean,ax_water,-0.4534,0.0397,-11.411,,
100km,SES.habitat_breadth.mean,ax_productivity,0.3841,0.0337,11.384,,
100km,SES.habitat_breadth.mean,ax_structure,-0.0494,0.0262,-1.882,,
100km,SES.habitat_breadth.mean,ax_human,-0.0563,0.0263,-2.144,,
100km,SES.body_mass.var,ax_thermal,0.8256,0.0395,20.876,,
100km,SES.body_mass.var,ax_water,-0.0361,0.0457,-0.79,,
100km,SES.body_mass.var,ax_productivity,0.175,0.0388,4.514,,
100km,SES.body_mass.var,ax_structure,-0.1267,0.0301,-4.204,,
100km,SES.body_mass.var,ax_human,0.3413,0.0302,11.296,,
100km,SES.nocturnality.var,ax_thermal,-0.151,0.0481,-3.14,,
100km,SES.nocturnality.var,ax_water,-0.1243,0.0555,-2.239,,
100km,SES.nocturnality.var,ax_productivity,-0.0105,0.0473,-0.222,,
100km,SES.nocturnality.var,ax_structure,0.1955,0.0366,5.338,,
100km,SES.nocturnality.var,ax_human,0.0581,0.0368,1.58,,
100km,SES.habitat_breadth.var,ax_thermal,0.3836,0.041,9.362,,
100km,SES.habitat_breadth.var,ax_water,-0.542,0.0473,-11.455,,
100km,SES.habitat_breadth.var,ax_productivity,-0.2395,0.0403,-5.947,,
100km,SES.habitat_breadth.var,ax_structure,0.2127,0.0312,6.81,,
100km,SES.habitat_breadth.var,ax_human,-0.0784,0.0313,-2.503,,
100km,SES.body_mass.skew,ax_thermal,-0.2049,0.0494,-4.152,,
100km,SES.body_mass.skew,ax_water,0.5118,0.057,8.979,,
100km,SES.body_mass.skew,ax_productivity,-0.1633,0.0485,-3.369,,
100km,SES.body_mass.skew,ax_structure,-0.1501,0.0376,-3.992,,
100km,SES.body_mass.skew,ax_human,-0.045,0.0377,-1.192,,
100km,SES.nocturnality.skew,ax_thermal,0.0416,0.0372,1.12,,
100km,SES.nocturnality.skew,ax_water,-0.0668,0.043,-1.556,,
100km,SES.nocturnality.skew,ax_productivity,-0.0867,0.0361,-2.403,,
100km,SES.nocturnality.skew,ax_structure,-0.3111,0.0284,-10.971,,
100km,SES.nocturnality.skew,ax_human,0.2303,0.0283,8.133,,
100km,SES.habitat_breadth.skew,ax_thermal,-0.1552,0.0404,-3.843,,
100km,SES.habitat_breadth.skew,ax_water,0.0406,0.0466,0.87,,
100km,SES.habitat_breadth.skew,ax_productivity,-0.5197,0.0397,-13.1,,
100km,SES.habitat_breadth.skew,ax_structure,0.2007,0.0308,6.52,,
100km,SES.habitat_breadth.skew,ax_human,-0.022,0.0309,-0.712,,
100km,SES.body_mass.kurt,ax_thermal,-0.6502,0.0473,-13.739,,
100km,SES.body_mass.kurt,ax_water,0.5836,0.0547,10.678,,
100km,SES.body_mass.kurt,ax_productivity,-0.2277,0.0465,-4.899,,
100km,SES.body_mass.kurt,ax_structure,-0.0277,0.0361,-0.768,,
100km,SES.body_mass.kurt,ax_human,-0.1522,0.0362,-4.207,,
100km,SES.nocturnality.kurt,ax_thermal,-0.1988,0.0464,-4.281,,
100km,SES.nocturnality.kurt,ax_water,-0.2049,0.0536,-3.821,,
100km,SES.nocturnality.kurt,ax_productivity,-0.1907,0.0457,-4.175,,
100km,SES.nocturnality.kurt,ax_structure,0.0543,0.0354,1.534,,
100km,SES.nocturnality.kurt,ax_human,-0.0513,0.0355,-1.445,,
100km,SES.habitat_breadth.kurt,ax_thermal,-0.6353,0.0435,-14.614,,
100km,SES.habitat_breadth.kurt,ax_water,0.0696,0.0502,1.387,,
100km,SES.habitat_breadth.kurt,ax_productivity,-0.3666,0.0427,-8.582,,
100km,SES.habitat_breadth.kurt,ax_structure,0.1914,0.0331,5.779,,
100km,SES.habitat_breadth.kurt,ax_human,0.1301,0.0332,3.914,,
100km,SES.litter_size.mean,ax_thermal,0.882,0.0315,28.001,,
100km,SES.litter_size.mean,ax_water,0.0964,0.0368,2.617,,
100km,SES.litter_size.mean,ax_productivity,0.2797,0.0305,9.167,,
100km,SES.litter_size.mean,ax_structure,0.0355,0.0223,1.593,,
100km,SES.litter_size.mean,ax_human,-0.0161,0.0242,-0.664,,
100km,SES.litter_size.var,ax_thermal,0.105,0.0535,1.963,,
100km,SES.litter_size.var,ax_water,0.0029,0.0625,0.047,,
100km,SES.litter_size.var,ax_productivity,-0.008,0.0518,-0.154,,
100km,SES.litter_size.var,ax_structure,0.0172,0.0378,0.453,,
100km,SES.litter_size.var,ax_human,0.2996,0.0411,7.294,,
100km,SES.litter_size.skew,ax_thermal,-0.321,0.0533,-6.028,,
100km,SES.litter_size.skew,ax_water,0.011,0.0623,0.176,,
100km,SES.litter_size.skew,ax_productivity,-0.4922,0.0516,-9.542,,
100km,SES.litter_size.skew,ax_structure,0.0492,0.0377,1.307,,
100km,SES.litter_size.skew,ax_human,0.0409,0.0409,1,,
100km,SES.litter_size.kurt,ax_thermal,-0.0377,0.0482,-0.782,,
100km,SES.litter_size.kurt,ax_water,0.1157,0.0564,2.052,,
100km,SES.litter_size.kurt,ax_productivity,0.1399,0.0467,2.995,,
100km,SES.litter_size.kurt,ax_structure,0.0123,0.0341,0.359,,
100km,SES.litter_size.kurt,ax_human,0.0095,0.037,0.256,,
100km,SES.FDis,ax_thermal,-0.1439,0.0378,-3.812,,
100km,SES.FDis,ax_water,-0.2643,0.0441,-5.998,,
100km,SES.FDis,ax_productivity,-0.489,0.0364,-13.425,,
100km,SES.FDis,ax_structure,0.0619,0.0277,2.234,,
100km,SES.FDis,ax_human,0.0836,0.0289,2.899,,
100km,SES.trait_vol,ax_thermal,-0.0719,0.0391,-1.841,,
100km,SES.trait_vol,ax_water,-0.3648,0.0456,-8.004,,
100km,SES.trait_vol,ax_productivity,-0.4934,0.0377,-13.095,,
100km,SES.trait_vol,ax_structure,0.0927,0.0287,3.231,,
100km,SES.trait_vol,ax_human,0.0883,0.0298,2.958,,
100km,SES.RaoQ,ax_thermal,-0.0591,0.0393,-1.503,,
100km,SES.RaoQ,ax_water,-0.2617,0.0456,-5.736,,
100km,SES.RaoQ,ax_productivity,-0.4395,0.038,-11.579,,
100km,SES.RaoQ,ax_structure,0.1115,0.0295,3.775,,
100km,SES.RaoQ,ax_human,0.0949,0.03,3.166,,
100km,SES.trait_dens,ax_thermal,0.333,0.0442,7.531,,
100km,SES.trait_dens,ax_water,-0.1095,0.0513,-2.134,,
100km,SES.trait_dens,ax_productivity,-0.2317,0.0427,-5.428,,
100km,SES.trait_dens,ax_structure,0.2271,0.0332,6.836,,
100km,SES.trait_dens,ax_human,0.0586,0.0337,1.737,,
100km,SES.FRic,ax_thermal,-0.089,0.0402,-2.211,,
100km,SES.FRic,ax_water,-0.4301,0.0464,-9.261,,
100km,SES.FRic,ax_productivity,-0.2135,0.0395,-5.401,,
100km,SES.FRic,ax_structure,0.2644,0.0306,8.629,,
100km,SES.FRic,ax_human,0.155,0.0308,5.039,,
